filename,prompt,negative_prompt
11-orea-v4-base-classic.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Single matte black circular coffee brewer bottom insert inspired by the Orea V4 Classic base, flat modular part with subtle drainage pattern. No logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
12-orea-v4-base-open.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Single matte black circular coffee brewer bottom insert inspired by the Orea V4 Open base, modular part with a more open central drainage area. No logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
13-orea-v4-base-fast.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Single matte black circular coffee brewer bottom insert inspired by a fast-flow modular base, visible multiple small drainage holes, clean technical design. No logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
14-orea-v4-base-apex.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Single matte black circular coffee brewer bottom insert inspired by an apex cone-style modular base, subtle raised conical center, clean technical geometry. No logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
15-orea-v4-stainless-steel-support-base.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Thin wavy stainless steel support base for an Orea V4 Narrow style coffee dripper, brushed metal surface, four-lobed organic shape, realistic metal reflections. No logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
16-orea-wave-filters-stack.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Neat stack of white wave coffee paper filters, pleated sides clearly visible, subtle paper texture, clean edges. No logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
17-orea-wave-filter-open.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Single white wave coffee paper filter opened upright, pleated walls visible, clean circular shape, delicate paper texture. No logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
18-orea-flat-filters-stack.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Neat stack of flat circular white coffee paper filters, thin paper layers visible, subtle paper texture. No logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
19-orea-flat-filter-open.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Single flat white circular coffee paper filter slightly opened into a cone shape, clean folded paper geometry, subtle paper fibers. No logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
20-orea-wet-filter-in-dripper-logo.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. White coffee paper filter fitted inside an Orea V4 Narrow style matte black coffee dripper, slightly wet and translucent, clean realistic texture. Add a small white Zeri’s Coffee Roaster circular logo printed on the visible front surface of the black brewer.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
21-arabica-beans-isolated.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Small group of roasted arabica coffee beans isolated on white. Each bean has an elegant oval shape and a curved S-shaped center crease, not a straight cut. Rich realistic roasted texture, slight natural oil sheen but not greasy. No logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
22-arabica-beans-small-pile.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Small clean pile of roasted arabica coffee beans, all with curved S-shaped center creases, premium specialty coffee look, realistic brown tones. No logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
23-arabica-beans-falling.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Roasted arabica coffee beans falling gently in mid-air, isolated on white. Beans have curved S-shaped center creases, realistic frozen motion, no container, no hands, no logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
24-medium-ground-coffee-mound.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Small clean mound of medium-ground specialty coffee, realistic granular texture, even medium grind suitable for pour-over brewing. No spoon, no logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
25-coffee-measuring-spoon-ground.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Minimalist stainless steel coffee measuring spoon filled with medium-ground specialty coffee, realistic metal reflections, detailed coffee texture. No hands, no logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
26-coffee-bed-levelled-in-orea-logo.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Top-down view of an even bed of medium-ground coffee inside a white paper filter placed in an Orea V4 Narrow style matte black dripper, clean flat surface, precise pour-over preparation style. Add a small white Zeri’s Coffee Roaster circular logo where visible on the black brewer front edge.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
27-coffee-grind-macro.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Macro texture of medium-ground specialty coffee particles, detailed granular texture, clean controlled composition, only coffee particles visible. No logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
28-gooseneck-kettle-isolated.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Minimalist matte black gooseneck kettle for pour-over coffee, elegant curved spout, realistic metal texture, premium specialty coffee accessory. No brand logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
29-pour-over-water-stream.webp,"Create exactly ONE image. Do not create a collage. Do not create a grid. Do not show multiple variations. One single product photograph only. Hyperrealistic premium studio product photography, seamless infinite pure white background, mobile app asset, exact size 1200 x 1600 pixels, vertical portrait format, WebP or optimized JPG output, sharp focus, soft diffused studio lighting, subtle realistic contact shadow, realistic materials, clean edges, no table, no kitchen, no lifestyle background, no hands unless explicitly requested, no watermark. Thin controlled stream of clear water falling vertically, frozen motion, realistic transparency and highlights. No kettle visible, no hands, no logo, no text.","collage, grid, multiple images in one frame, contact sheet, variations sheet, six images, multiple products unless explicitly requested, flat vector, cartoon, illustration, infographic, app mockup, CGI render look, plastic toy, fake product, distorted geometry, wrong proportions, extra objects, kitchen background, wooden table, marble surface, grey background, colored background, strong shadow, dirty surface, text overlay, watermark, blurry, low resolution, duplicated object, deformed circles, unreadable typography, misspelled logo"
